País de residencia;Tipo de dato;Periodo;Total
Irlanda;Dato base;2020M08;25.569
Irlanda;Dato base;2020M07;31.137
Irlanda;Dato base;2020M06;.
Irlanda;Dato base;2020M05;0
Irlanda;Dato base;2020M04;0
Irlanda;Dato base;2020M03;38.104
Irlanda;Dato base;2020M02;96.119
Irlanda;Dato base;2020M01;85.670
Irlanda;Dato base;2019M12;83.633
Irlanda;Dato base;2019M11;94.334
Irlanda;Dato base;2019M10;195.168
Irlanda;Dato base;2019M09;253.182
Irlanda;Dato base;2019M08;266.927
Irlanda;Dato base;2019M07;286.096
Irlanda;Dato base;2019M06;282.177
Irlanda;Dato base;2019M05;237.509
Irlanda;Dato base;2019M04;173.919
Irlanda;Dato base;2019M03;124.441
Irlanda;Dato base;2019M02;90.556
Irlanda;Dato base;2019M01;89.650
Irlanda;Dato base;2018M12;93.838
Irlanda;Dato base;2018M11;85.430
Irlanda;Dato base;2018M10;197.182
Irlanda;Dato base;2018M09;236.984
Irlanda;Dato base;2018M08;222.755
Irlanda;Dato base;2018M07;268.390
Irlanda;Dato base;2018M06;269.507
Irlanda;Dato base;2018M05;229.976
Irlanda;Dato base;2018M04;164.830
Irlanda;Dato base;2018M03;118.310
Irlanda;Dato base;2018M02;85.754
Irlanda;Dato base;2018M01;80.430
Italia;Dato base;2022M12;257.314
Italia;Dato base;2022M11;264.514
Italia;Dato base;2022M10;356.677
Italia;Dato base;2022M09;401.483
Italia;Dato base;2022M08;640.666
Italia;Dato base;2022M07;471.298
Italia;Dato base;2022M06;403.785
Italia;Dato base;2022M05;357.729
Italia;Dato base;2022M04;298.122
Italia;Dato base;2022M03;235.869
Italia;Dato base;2022M02;166.835
Italia;Dato base;2022M01;156.847
Italia;Dato base;2021M12;196.774
Italia;Dato base;2021M11;211.377
Italia;Dato base;2021M10;217.969
Italia;Dato base;2021M09;237.310
Italia;Dato base;2021M08;309.752
Italia;Dato base;2021M07;220.126
Italia;Dato base;2021M06;134.073
Italia;Dato base;2021M05;62.693
Italia;Dato base;2021M04;40.255
Italia;Dato base;2021M03;30.609
Italia;Dato base;2021M02;19.660
Italia;Dato base;2021M01;22.824
Italia;Dato base;2020M12;24.875
Italia;Dato base;2020M11;21.115
Italia;Dato base;2020M10;37.782
Italia;Dato base;2020M09;59.535
Italia;Dato base;2020M08;136.812
Italia;Dato base;2020M07;103.190
Italia;Dato base;2020M06;11.355
Italia;Dato base;2020M05;0
Italia;Dato base;2020M04;0
Italia;Dato base;2020M03;62.417
Italia;Dato base;2020M02;255.313
Italia;Dato base;2020M01;235.011
Italia;Dato base;2019M12;305.220
Italia;Dato base;2019M11;294.195
Italia;Dato base;2019M10;323.855
Italia;Dato base;2019M09;431.263
Italia;Dato base;2019M08;671.330
Italia;Dato base;2019M07;481.829
Italia;Dato base;2019M06;405.887
Italia;Dato base;2019M05;403.175
Italia;Dato base;2019M04;388.321
Italia;Dato base;2019M03;320.311
Italia;Dato base;2019M02;263.903
Italia;Dato base;2019M01;245.224
Italia;Dato base;2018M12;297.914
Italia;Dato base;2018M11;287.656
Italia;Dato base;2018M10;324.470
Italia;Dato base;2018M09;467.229
Italia;Dato base;2018M08;636.112
Italia;Dato base;2018M07;490.594
Italia;Dato base;2018M06;420.236
Italia;Dato base;2018M05;342.494
Italia;Dato base;2018M04;347.141
Italia;Dato base;2018M03;283.169
Italia;Dato base;2018M02;233.046
Italia;Dato base;2018M01;259.393
Países Bajos;Dato base;2022M12;166.830
Países Bajos;Dato base;2022M11;187.890
Países Bajos;Dato base;2022M10;351.388
Países Bajos;Dato base;2022M09;415.211
Países Bajos;Dato base;2022M08;526.669
